year;shape_id;dengue_susp;dengue_conf;dengue_fat;dengue_loc;type;shape_name;shape_type
2019;2;0;8;0;1;region;Arusha;region
2019;3;0;6272;11;1;region;Dar-es-salaam;region
2019;4;0;3;1;1;region;Dodoma;region
2019;5;0;0;0;0;region;Geita;region
2019;6;0;0;0;0;region;Iringa;region
2019;7;0;2;0;1;region;Kagera;region
2019;8;0;0;0;0;region;Kaskazini Pemba;region
2019;9;0;0;0;0;region;Kaskazini Unguja;region
2019;10;0;0;0;0;region;Katavi;region
2019;11;0;0;0;0;region;Kigoma;region
2019;12;0;1;0;1;region;Kilimanjaro;region
2019;13;0;0;0;0;region;Kusini Pemba;region
2019;14;0;0;0;0;region;Kusini Unguja;region
2019;15;0;12;0;1;region;Lindi;region
2019;16;0;0;0;0;region;Manyara;region
2019;17;0;0;0;0;region;Mara;region
2019;18;0;0;0;0;region;Mbeya;region
2019;19;0;0;0;0;region;Mjini Magharibi;region
2019;20;0;22;0;1;region;Morogoro;region
2019;21;0;1;0;1;region;Mtwara;region
2019;22;0;0;0;0;region;Mwanza;region
2019;23;0;0;0;0;region;Njombe;region
2019;24;0;101;0;1;region;Pwani;region
2019;25;0;0;0;0;region;Rukwa;region
2019;26;0;1;0;1;region;Ruvuma;region
2019;27;0;0;0;0;region;Shinyanga;region
2019;28;0;0;0;0;region;Simiyu;region
2019;29;0;3;0;1;region;Singida;region
2019;30;0;0;0;0;region;Songwe;region
2019;31;0;0;0;0;region;Tabora;region
2019;32;0;369;1;1;region;Tanga;region
2019;1;0;6795;13;1;country;Tanzania;country
2020;2;0;0;0;0;region;Arusha;region
2020;3;0;1;0;1;region;Dar-es-salaam;region
2020;4;0;0;0;0;region;Dodoma;region
2020;5;0;0;0;0;region;Geita;region
2020;6;0;0;0;0;region;Iringa;region
2020;7;0;0;0;0;region;Kagera;region
2020;8;0;0;0;0;region;Kaskazini Pemba;region
2020;9;0;0;0;0;region;Kaskazini Unguja;region
2020;10;0;0;0;0;region;Katavi;region
2020;11;0;0;0;0;region;Kigoma;region
2020;12;0;0;0;0;region;Kilimanjaro;region
2020;13;0;0;0;0;region;Kusini Pemba;region
2020;14;0;0;0;0;region;Kusini Unguja;region
2020;15;0;0;0;0;region;Lindi;region
2020;16;0;0;0;0;region;Manyara;region
2020;17;0;0;0;0;region;Mara;region
2020;18;0;0;0;0;region;Mbeya;region
2020;19;0;0;0;0;region;Mjini Magharibi;region
2020;20;0;0;0;0;region;Morogoro;region
2020;21;0;0;0;0;region;Mtwara;region
2020;22;0;0;0;0;region;Mwanza;region
2020;23;0;0;0;0;region;Njombe;region
2020;24;0;0;0;0;region;Pwani;region
2020;25;0;0;0;0;region;Rukwa;region
2020;26;0;0;0;0;region;Ruvuma;region
2020;27;0;0;0;0;region;Shinyanga;region
2020;28;0;0;0;0;region;Simiyu;region
2020;29;0;0;0;0;region;Singida;region
2020;30;0;0;0;0;region;Songwe;region
2020;31;0;0;0;0;region;Tabora;region
2020;32;0;6;0;1;region;Tanga;region
2020;1;0;7;0;1;country;Tanzania;country
2021;2;0;0;0;0;region;Arusha;region
2021;3;0;19;0;1;region;Dar-es-salaam;region
2021;4;0;0;0;0;region;Dodoma;region
2021;5;0;0;0;0;region;Geita;region
2021;6;0;0;0;0;region;Iringa;region
2021;7;0;0;0;0;region;Kagera;region
2021;8;0;0;0;0;region;Kaskazini Pemba;region
2021;9;0;0;0;0;region;Kaskazini Unguja;region
2021;10;0;0;0;0;region;Katavi;region
2021;11;0;0;0;0;region;Kigoma;region
2021;12;0;0;0;0;region;Kilimanjaro;region
2021;13;0;0;0;0;region;Kusini Pemba;region
2021;14;0;0;0;0;region;Kusini Unguja;region
2021;15;0;0;0;0;region;Lindi;region
2021;16;0;0;0;0;region;Manyara;region
2021;17;0;0;0;0;region;Mara;region
2021;18;0;0;0;0;region;Mbeya;region
2021;19;0;0;0;0;region;Mjini Magharibi;region
2021;20;0;0;0;0;region;Morogoro;region
2021;21;0;0;0;0;region;Mtwara;region
2021;22;0;0;0;0;region;Mwanza;region
2021;23;0;0;0;0;region;Njombe;region
2021;24;0;0;0;0;region;Pwani;region
2021;25;0;0;0;0;region;Rukwa;region
2021;26;0;0;0;0;region;Ruvuma;region
2021;27;0;0;0;0;region;Shinyanga;region
2021;28;0;0;0;0;region;Simiyu;region
2021;29;0;0;0;0;region;Singida;region
2021;30;0;0;0;0;region;Songwe;region
2021;31;0;0;0;0;region;Tabora;region
2021;32;0;1;0;0;region;Tanga;region
2021;1;0;20;0;1;country;Tanzania;country
2022;2;0;0;0;0;region;Arusha;region
2022;3;0;0;0;0;region;Dar-es-salaam;region
2022;4;0;0;0;0;region;Dodoma;region
2022;5;0;0;0;0;region;Geita;region
2022;6;0;0;0;0;region;Iringa;region
2022;7;0;0;0;0;region;Kagera;region
2022;8;0;0;0;0;region;Kaskazini Pemba;region
2022;9;0;0;0;0;region;Kaskazini Unguja;region
2022;10;0;0;0;0;region;Katavi;region
2022;11;0;0;0;0;region;Kigoma;region
2022;12;0;0;0;0;region;Kilimanjaro;region
2022;13;0;0;0;0;region;Kusini Pemba;region
2022;14;0;0;0;0;region;Kusini Unguja;region
2022;15;0;0;0;0;region;Lindi;region
2022;16;0;0;0;0;region;Manyara;region
2022;17;0;0;0;0;region;Mara;region
2022;18;0;0;0;0;region;Mbeya;region
2022;19;0;0;0;0;region;Mjini Magharibi;region
2022;20;0;0;0;0;region;Morogoro;region
2022;21;0;0;0;0;region;Mtwara;region
2022;22;0;0;0;0;region;Mwanza;region
2022;23;0;0;0;0;region;Njombe;region
2022;24;0;0;0;0;region;Pwani;region
2022;25;0;0;0;0;region;Rukwa;region
2022;26;0;0;0;0;region;Ruvuma;region
2022;27;0;0;0;0;region;Shinyanga;region
2022;28;0;0;0;0;region;Simiyu;region
2022;29;0;0;0;0;region;Singida;region
2022;30;0;0;0;0;region;Songwe;region
2022;31;0;0;0;0;region;Tabora;region
2022;32;0;0;0;0;region;Tanga;region
2022;1;0;0;0;0;country;Tanzania;country
