Abbreviation,Category,Creator,Title,Publisher,Contributor,Date,Type,Format,Identifier,Source,Citation,Language,Rights,Coverage
malariaatlas_mortal,Health,Malaria Atlas Project,Annual malaria (falciparum) mortality,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,https://doi.org/10.1186/s12936-018-2500-5,Malaria Atlas Project,"Pfeffer, D.A., Lucas, T.C.D., May, D. et al. malariaAtlas: an R interface to global malariometric data hosted by the Malaria Atlas Project. Malar J 17, 352 (2018). https://doi.org/10.1186/s12936-018-2500-5",eng,CC BY 3.0,Tanzania
malariaatlas_traveltimehc,Infrastructure,Malaria Atlas Project,Average time to health care facility,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,https://doi.org/10.1186/s12936-018-2500-5,Malaria Atlas Project,"Pfeffer, D.A., Lucas, T.C.D., May, D. et al. malariaAtlas: an R interface to global malariometric data hosted by the Malaria Atlas Project. Malar J 17, 352 (2018). https://doi.org/10.1186/s12936-018-2500-5",eng,CC BY 3.0,Tanzania
meteo_ahum,Weather,Meteostat,Absolute humidity,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,https://meteostat.net/,Meteostat,None,eng,CC BY-NC 4.0,Tanzania
meteo_dtr,Weather,Meteostat,Diurnal temporal range,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,https://meteostat.net/,Derived from Meteostat,None,eng,CC BY-NC 4.0,Tanzania
meteo_maxt,Weather,Meteostat,Maximum temperature,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,https://meteostat.net/,Meteostat,None,eng,CC BY-NC 4.0,Tanzania
meteo_mint,Weather,Meteostat,Minimum temperature,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,https://meteostat.net/,Meteostat,None,eng,CC BY-NC 4.0,Tanzania
meteo_rhum,Weather,Meteostat,Relative humidity,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,https://meteostat.net/,Meteostat,None,eng,CC BY-NC 4.0,Tanzania
meteo_tprecit,Weather,Meteostat,Total precipitation,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,https://meteostat.net/,Meteostat,None,eng,CC BY-NC 4.0,Tanzania
osm_airports,Infrastructure,OpenStreetMap,Airport infrastructure quality index,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Derived from OpenStreetMap and GlobalEconomy,Map data copyrighted from OpenStreetMap contributors and available from openstreetmap.org AND https://www.theglobaleconomy.com,eng,ODbl AND Unknown,Tanzania
osm_building,Infrastructure,OpenStreetMap,,,,,,,,,,,,
osm_ferries,Infrastructure,OpenStreetMap,Ferry infrastructure quality index,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Derived from OpenStreetMap and GlobalEconomy,Map data copyrighted from OpenStreetMap contributors and available from openstreetmap.org AND https://www.theglobaleconomy.com,eng,ODbl AND Unknown,Tanzania
osm_graph,Infrastructure,OpenStreetMap,,,,,,,,,,,,
osm_landuse,Infrastructure,OpenStreetMap,,,,,,,,,,,,
osm_rail,Infrastructure,OpenStreetMap,Rail infrastructure quality index,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Derived from OpenStreetMap and GlobalEconomy,Map data copyrighted from OpenStreetMap contributors and available from openstreetmap.org AND https://www.theglobaleconomy.com,eng,ODbl AND Unknown,Tanzania
osm_roads_regional,Infrastructure,OpenStreetMap,Road infrastructure quality index,HAW Hamburg,ESIDA,14.06.2023,Dataset,CSV,None,Derived from OpenStreetMap and GlobalEconomy,Map data copyrighted from OpenStreetMap contributors and available from openstreetmap.org AND https://www.theglobaleconomy.com,eng,ODbl AND Unknown,Tanzania
